Full Name,Name,Status,Duration,Error,Stack Trace,Steps,Parent Suite,Suite,Sub Suite,Epic,Feature,Story
"start.test.ts:80:5","""JUnit5""","broken","30s 203ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (678ms)
  beforeEach hook passed (678ms)
    fixture: context passed (10ms)
      browser.newContext passed (7ms)
    fixture: page passed (41ms)
      browserContext.newPage passed (40ms)
    page.goto(/start) passed (619ms)
 page.goto(/start) passed (292ms)
  locator.getByText('Kotlin').click passed (42ms)
   locator.getByText('JUnit5', { exact: true }).click passed (34ms)
    locator.all([title=""Project metadata""] label[id]) passed (11ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (26ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (11ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (11ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (8ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (6ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (6ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (6ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (6ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (12ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (36ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (37ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (35ms)
               locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-select]) passed (9ms)
                locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker]) passed (11ms)
                 locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (9ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (24ms)
                    locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (23ms)
                      locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (22ms)
                        locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=3 >> label) passed (21ms)
                   locator.getByText('Maven', { exact: true }).click passed (23ms)
                    locator.getByText('8', { exact: true }).click passed (22ms)
                     page.waitForEvent failed (28s 886ms)
                       locator.getByText('Download .zip').click passed (44ms)
                       page.waitForTimeout passed (109ms)
                         After Hooks passed (208ms)
                           page.screenshot passed (77ms)
                           fixture: page passed (0s)
                           fixture: context passed (0s)","chromium","start.test.ts","kotlin","Start page","Kotlin","JUnit5"
"start.test.ts:80:5","""JUnit5""","broken","30s 597ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (2s 268ms)
  beforeEach hook passed (2s 266ms)
    fixture: browser passed (393ms)
      browserType.launch passed (390ms)
    fixture: context passed (97ms)
      browser.newContext passed (60ms)
    fixture: page passed (781ms)
      browserContext.newPage passed (778ms)
    page.goto(/start) passed (983ms)
 page.goto(/start) passed (549ms)
  locator.getByText('Kotlin').click passed (163ms)
   locator.getByText('JUnit5', { exact: true }).click passed (120ms)
    locator.all([title=""Project metadata""] label[id]) passed (82ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (22ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (11ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (11ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (10ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (7ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (7ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (9ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (11ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (8ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (35ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (35ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (31ms)
               locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-select]) passed (11ms)
                locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker]) passed (7ms)
                 locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (9ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (26ms)
                    locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (25ms)
                      locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (24ms)
                        locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=3 >> label) passed (24ms)
                   locator.getByText('Maven', { exact: true }).click passed (64ms)
                    locator.getByText('8', { exact: true }).click passed (45ms)
                     page.waitForEvent passed (2s 890ms)
                       locator.getByText('Download .zip').click passed (73ms)
                       page.waitForTimeout passed (105ms)
                      locator.getByText('Maven', { exact: true }).click passed (62ms)
                       locator.getByText('11', { exact: true }).click passed (53ms)
                        page.waitForEvent passed (260ms)
                          locator.getByText('Download .zip').click passed (81ms)
                          page.waitForTimeout passed (107ms)
                         locator.getByText('Maven', { exact: true }).click passed (47ms)
                          locator.getByText('17', { exact: true }).click passed (53ms)
                           page.waitForEvent passed (260ms)
                             locator.getByText('Download .zip').click passed (86ms)
                             page.waitForTimeout passed (106ms)
                            locator.getByText('Maven', { exact: true }).click passed (52ms)
                             locator.getByText('21', { exact: true }).click passed (54ms)
                              page.waitForEvent failed (23s 672ms)
                                locator.getByText('Download .zip').click passed (86ms)
                                page.waitForTimeout passed (107ms)
                                  After Hooks passed (603ms)
                                    page.screenshot passed (43ms)
                                    fixture: page passed (0s)
                                    fixture: context passed (0s)","firefox","start.test.ts","kotlin","Start page","Kotlin","JUnit5"
"start.test.ts:154:5","""JUnit5""","broken","30s 265ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (620ms)
  beforeEach hook passed (619ms)
    fixture: browser passed (90ms)
      browserType.launch passed (87ms)
    fixture: context passed (17ms)
      browser.newContext passed (8ms)
    fixture: page passed (35ms)
      browserContext.newPage passed (32ms)
    page.goto(/start) passed (463ms)
 page.goto(/start) passed (426ms)
  locator.getByText('Java', { exact: true }).click passed (84ms)
   locator.getByText('JUnit5', { exact: true }).click passed (88ms)
    locator.all([title=""Project metadata""] label[id]) passed (12ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (9ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (9ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (9ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (7ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (6ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (9ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (9ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (7ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (8ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (28ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (27ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (25ms)
               locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-select]) passed (14ms)
                locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker]) passed (9ms)
                 locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (7ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (25ms)
                    locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (25ms)
                      locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (24ms)
                        locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=3 >> label) passed (23ms)
                   locator.getByText('Maven', { exact: true }).click passed (27ms)
                    locator.getByText('8', { exact: true }).click passed (28ms)
                     page.waitForEvent passed (20s 434ms)
                       locator.getByText('Download .zip').click passed (50ms)
                       page.waitForTimeout passed (110ms)
                      locator.getByText('Maven', { exact: true }).click passed (33ms)
                       locator.getByText('11', { exact: true }).click passed (47ms)
                        page.waitForEvent failed (8s 327ms)
                          locator.getByText('Download .zip').click passed (65ms)
                          page.waitForTimeout passed (107ms)
                            After Hooks passed (267ms)
                              page.screenshot passed (68ms)
                              fixture: page passed (0s)
                              fixture: context passed (0s)","chromium","start.test.ts","java","Start page","Java","JUnit5"
"start.test.ts:154:5","""JUnit5""","broken","30s 598ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (740ms)
  beforeEach hook passed (740ms)
    fixture: context passed (11ms)
      browser.newContext passed (7ms)
    fixture: page passed (166ms)
      browserContext.newPage passed (166ms)
    page.goto(/start) passed (558ms)
 page.goto(/start) passed (508ms)
  locator.getByText('Java', { exact: true }).click passed (110ms)
   locator.getByText('JUnit5', { exact: true }).click passed (117ms)
    locator.all([title=""Project metadata""] label[id]) passed (10ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (40ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (8ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (8ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (9ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (13ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (8ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (7ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (8ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (9ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (22ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (21ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (21ms)
               locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-select]) passed (8ms)
                locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker]) passed (9ms)
                 locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (8ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (24ms)
                    locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (23ms)
                      locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (23ms)
                        locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=3 >> label) passed (23ms)
                   locator.getByText('Maven', { exact: true }).click passed (50ms)
                    locator.getByText('8', { exact: true }).click passed (44ms)
                     page.waitForEvent failed (28s 812ms)
                       locator.getByText('Download .zip').click passed (65ms)
                       page.waitForTimeout passed (106ms)
                         After Hooks passed (611ms)
                           page.screenshot passed (48ms)
                           fixture: page passed (0s)
                           fixture: context passed (0s)","firefox","start.test.ts","java","Start page","Java","JUnit5"
"start.test.ts:80:5","""JUnit5""","broken","30s 428ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (881ms)
  beforeEach hook passed (881ms)
    fixture: context passed (10ms)
      browser.newContext passed (5ms)
    fixture: page passed (148ms)
      browserContext.newPage passed (147ms)
    page.goto(/start) passed (717ms)
 page.goto(/start) passed (354ms)
  locator.getByText('Kotlin').click passed (69ms)
   locator.getByText('JUnit5', { exact: true }).click passed (138ms)
    locator.all([title=""Project metadata""] label[id]) passed (23ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (57ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (14ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (8ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (7ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (14ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (10ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (11ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (11ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (14ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (22ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (22ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (21ms)
               locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-select]) passed (11ms)
                locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker]) passed (8ms)
                 locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (8ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (39ms)
                    locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (38ms)
                      locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (36ms)
                        locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=3 >> label) passed (34ms)
                   locator.getByText('Maven', { exact: true }).click passed (34ms)
                    locator.getByText('8', { exact: true }).click passed (78ms)
                     page.waitForEvent passed (20s 327ms)
                       locator.getByText('Download .zip').click passed (190ms)
                       page.waitForTimeout passed (121ms)
                      locator.getByText('Maven', { exact: true }).click passed (23ms)
                       locator.getByText('11', { exact: true }).click passed (55ms)
                        page.waitForEvent failed (8s 176ms)
                          locator.getByText('Download .zip').click passed (164ms)
                          page.waitForTimeout passed (136ms)
                            After Hooks passed (433ms)
                              page.screenshot passed (237ms)
                              fixture: page passed (1ms)
                              fixture: context passed (0s)","safari","start.test.ts","kotlin","Start page","Kotlin","JUnit5"
"start.test.ts:154:5","""JUnit5""","broken","30s 519ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (1s 45ms)
  beforeEach hook passed (1s 44ms)
    fixture: browser passed (105ms)
      browserType.launch passed (103ms)
    fixture: context passed (17ms)
      browser.newContext passed (7ms)
    fixture: page passed (152ms)
      browserContext.newPage passed (151ms)
    page.goto(/start) passed (757ms)
 page.goto(/start) passed (378ms)
  locator.getByText('Java', { exact: true }).click passed (81ms)
   locator.getByText('JUnit5', { exact: true }).click passed (127ms)
    locator.all([title=""Project metadata""] label[id]) passed (90ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (14ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (14ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (12ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (13ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (22ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (13ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (13ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (15ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (26ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (34ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (33ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (28ms)
               locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-select]) passed (15ms)
                locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker]) passed (20ms)
                 locator.all([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (12ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (34ms)
                    locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (33ms)
                      locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (32ms)
                        locator.textContent([title=""Project metadata""] label[id] >> nth=4 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=3 >> label) passed (26ms)
                   locator.getByText('Maven', { exact: true }).click passed (38ms)
                    locator.getByText('8', { exact: true }).click passed (59ms)
                     page.waitForEvent passed (1s 637ms)
                       locator.getByText('Download .zip').click passed (98ms)
                       page.waitForTimeout passed (120ms)
                      locator.getByText('Maven', { exact: true }).click passed (44ms)
                       locator.getByText('11', { exact: true }).click passed (96ms)
                        page.waitForEvent passed (19s 966ms)
                          locator.getByText('Download .zip').click passed (91ms)
                          page.waitForTimeout passed (120ms)
                         locator.getByText('Maven', { exact: true }).click passed (46ms)
                          locator.getByText('17', { exact: true }).click passed (97ms)
                           page.waitForEvent failed (6s 563ms)
                             locator.getByText('Download .zip').click passed (102ms)
                             page.waitForTimeout passed (111ms)
                               After Hooks passed (529ms)
                                 page.screenshot passed (236ms)
                                 fixture: page passed (0s)
                                 fixture: context passed (0s)","safari","start.test.ts","java","Start page","Java","JUnit5"
"start.test.ts:179:5","""NUnit""","passed","1s 332ms",,,"Before Hooks passed (608ms)
  beforeEach hook passed (607ms)
    fixture: browser passed (89ms)
      browserType.launch passed (87ms)
    fixture: context passed (17ms)
      browser.newContext passed (7ms)
    fixture: page passed (42ms)
      browserContext.newPage passed (40ms)
    page.goto(/start) passed (447ms)
 page.goto(/start) passed (207ms)
  locator.getByText('C#', { exact: true }).click passed (244ms)
   locator.getByText('NUnit', { exact: true }).click passed (63ms)
    locator.all([title=""Project metadata""] label[id]) passed (19ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (35ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (8ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (8ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (8ms)
          After Hooks passed (172ms)
            fixture: page passed (0s)
            fixture: context passed (0s)","chromium","start.test.ts","csharp","Start page","C#","NUnit"
"start.test.ts:179:5","""NUnit""","passed","3s 626ms",,,"Before Hooks passed (2s 531ms)
  beforeEach hook passed (2s 530ms)
    fixture: browser passed (432ms)
      browserType.launch passed (428ms)
    fixture: context passed (87ms)
      browser.newContext passed (50ms)
    fixture: page passed (767ms)
      browserContext.newPage passed (765ms)
    page.goto(/start) passed (1s 224ms)
 page.goto(/start) passed (575ms)
  locator.getByText('C#', { exact: true }).click passed (184ms)
   locator.getByText('NUnit', { exact: true }).click passed (157ms)
    locator.all([title=""Project metadata""] label[id]) passed (33ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (64ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (22ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (13ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (12ms)
          After Hooks passed (355ms)
            fixture: page passed (0s)
            fixture: context passed (1ms)","firefox","start.test.ts","csharp","Start page","C#","NUnit"
"start.test.ts:179:5","""NUnit""","passed","2s 263ms",,,"Before Hooks passed (1s 270ms)
  beforeEach hook passed (1s 270ms)
    fixture: browser passed (103ms)
      browserType.launch passed (101ms)
    fixture: context passed (13ms)
      browser.newContext passed (6ms)
    fixture: page passed (154ms)
      browserContext.newPage passed (152ms)
    page.goto(/start) passed (987ms)
 page.goto(/start) passed (318ms)
  locator.getByText('C#', { exact: true }).click passed (102ms)
   locator.getByText('NUnit', { exact: true }).click passed (119ms)
    locator.all([title=""Project metadata""] label[id]) passed (34ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (50ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (15ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (13ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (11ms)
          After Hooks passed (392ms)
            fixture: page passed (1ms)
            fixture: context passed (0s)","safari","start.test.ts","csharp","Start page","C#","NUnit"
"start.test.ts:101:5","""PHPUnit""","broken","30s 263ms","Test timeout of 30000ms exceeded.","Test timeout of 30000ms exceeded.","Before Hooks passed (779ms)
  beforeEach hook passed (777ms)
    fixture: browser passed (120ms)
      browserType.launch passed (118ms)
    fixture: context passed (25ms)
      browser.newContext passed (12ms)
    fixture: page passed (60ms)
      browserContext.newPage passed (57ms)
    page.goto(/start) passed (552ms)
 page.goto(/start) passed (289ms)
  locator.getByText('PHP').click passed (94ms)
   locator.getByText('PHPUnit', { exact: true }).click passed (58ms)
    locator.all([title=""Project metadata""] label[id]) passed (66ms)
     locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-select]) passed (18ms)
      locator.all([title=""Project metadata""] label[id] >> nth=0 >> [data-testid=app-start-inline-picker]) passed (26ms)
       locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-select]) passed (16ms)
        locator.all([title=""Project metadata""] label[id] >> nth=1 >> [data-testid=app-start-inline-picker]) passed (11ms)
         locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-select]) passed (10ms)
          locator.all([title=""Project metadata""] label[id] >> nth=2 >> [data-testid=app-start-inline-picker]) passed (8ms)
           locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-select]) passed (12ms)
            locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker]) passed (9ms)
             locator.all([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li) passed (10ms)
              locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=0 >> label) passed (35ms)
                locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=1 >> label) passed (31ms)
                  locator.textContent([title=""Project metadata""] label[id] >> nth=3 >> [data-testid=app-start-inline-picker] >> nth=0 >> li >> nth=2 >> label) passed (30ms)
               locator.getByText('php8.1', { exact: true }).click passed (60ms)
                page.waitForEvent passed (2s 413ms)
                  locator.getByText('Download .zip').click passed (107ms)
                  page.waitForTimeout passed (120ms)
                 locator.getByText('php8.2', { exact: true }).click passed (31ms)
                  page.waitForEvent failed (26s 306ms)
                    locator.getByText('Download .zip').click passed (50ms)
                    page.waitForTimeout passed (107ms)
                      After Hooks passed (267ms)
                        page.screenshot passed (81ms)
                        fixture: page passed (0s)
                        fixture: context passed (1ms)","chromium","start.test.ts","php","Start page","PHP","PHPUnit"
